ID,userID,carreraID,materiaID,cursado,activo
25,69,3,3,regular,no
26,69,3,4,regular,no
27,69,3,5,regular,no
28,69,3,3,regular,no
29,69,3,4,regular,no
30,69,3,5,regular,no
31,69,3,3,regular,no
32,69,3,4,regular,no
33,69,3,5,regular,no
44,69,4,31,regular,no
45,69,4,32,regular,no
103,69,3,5,libre,no
104,69,3,3,libre,no
105,69,3,4,libre,no
191,100,4,32,libre,no
192,100,4,33,libre,no
193,100,4,35,libre,no
194,100,4,40,libre,no
195,100,4,42,libre,no
196,100,4,50,libre,no
197,100,4,53,libre,no
198,100,4,54,libre,no
199,100,4,55,libre,no
200,100,4,56,libre,no
271,122,3,5,regular,no
272,122,3,9,regular,no
273,122,3,10,regular,no
274,122,3,11,regular,no
275,122,3,15,regular,no
276,122,3,17,regular,no
277,122,3,19,regular,no
278,122,3,24,regular,no
279,122,3,28,regular,no
308,133,4,30,regular,no
309,133,4,36,regular,no
310,133,4,39,regular,no
311,133,4,43,regular,no
312,133,4,45,regular,no
313,133,4,46,regular,no
314,133,4,47,regular,no
315,133,4,48,regular,no
324,98,3,3,regular,no
325,98,3,6,regular,no
326,98,3,8,regular,no
327,98,3,13,regular,no
328,98,3,18,regular,no
329,98,3,20,regular,no
330,98,3,22,regular,no
331,98,3,25,regular,no
498,176,3,5,regular,no
499,176,3,9,regular,no
500,176,3,10,regular,no
501,176,3,11,regular,no
502,176,3,15,regular,no
503,176,3,17,regular,no
504,176,3,19,regular,no
505,176,3,24,regular,no
506,176,3,28,regular,no
523,171,3,5,regular,no
524,171,3,9,regular,no
525,171,3,10,regular,no
526,171,3,11,regular,no
527,171,3,15,regular,no
528,171,3,17,regular,no
529,171,3,19,regular,no
530,171,3,24,regular,no
531,171,3,28,regular,no
574,111,4,30,regular,no
575,111,4,36,regular,no
576,111,4,39,regular,no
577,111,4,43,regular,no
578,111,4,45,regular,no
579,111,4,46,regular,no
580,111,4,47,regular,no
581,111,4,51,regular,no
666,154,4,30,regular,no
667,154,4,36,regular,no
668,154,4,39,regular,no
669,154,4,43,regular,no
670,154,4,45,regular,no
671,154,4,46,regular,no
672,154,4,47,regular,no
673,154,4,48,regular,no
701,166,4,30,regular,no
702,166,4,36,regular,no
703,166,4,39,regular,no
704,166,4,43,regular,no
705,166,4,45,regular,no
706,166,4,46,regular,no
707,166,4,47,regular,no
708,166,4,48,regular,no
709,166,4,51,regular,no
744,109,3,3,regular,no
745,109,3,6,regular,no
746,109,3,8,regular,no
747,109,3,13,regular,no
748,109,3,18,regular,no
749,109,3,20,regular,no
750,109,3,22,regular,no
751,109,3,23,regular,no
752,109,3,25,regular,no
786,104,3,5,regular,no
787,104,3,9,regular,no
788,104,3,10,regular,no
789,104,3,11,regular,no
790,104,3,15,regular,no
791,104,3,17,regular,no
792,104,3,24,regular,no
793,104,3,28,regular,no
844,81,3,5,regular,no
845,81,3,9,regular,no
846,81,3,10,regular,no
847,81,3,11,regular,no
848,81,3,15,regular,no
849,81,3,17,regular,no
850,81,3,19,regular,no
851,81,3,24,regular,no
852,81,3,28,regular,no
853,81,3,3,regular,no
854,81,3,6,regular,no
855,81,3,8,regular,no
856,81,3,13,regular,no
857,81,3,18,regular,no
858,81,3,20,regular,no
859,81,3,22,regular,no
860,81,3,23,regular,no
861,81,3,25,regular,no
862,81,3,2,regular,no
863,81,3,4,regular,no
864,81,3,7,regular,no
865,81,3,12,regular,no
866,81,3,14,regular,no
867,81,3,16,regular,no
