ID,userID,carreraID,materiaID,cursado,FechaRegular,epoch,habilitado
140,506,3,18,libre,,1594656293,no
141,506,3,2,libre,,1594656293,no
201,531,4,40,regular,,1594665379,no
208,524,3,2,libre,,1594666860,no
209,524,3,14,regular,,1594666860,no
210,524,3,16,regular,,1594666860,no
211,524,3,27,libre,,1594666860,no
241,529,4,33,regular,2019-11-30,1594678409,no
352,533,3,26,regular,,1594766927,no
458,243,3,17,regular,,1594915910,no
459,243,3,6,regular,,1594915910,no
460,243,3,8,regular,,1594915910,no
461,243,3,13,regular,,1594915910,no
462,243,3,20,regular,,1594915910,no
463,243,3,25,regular,,1594915910,no
478,317,4,43,libre,,1594940688,no
479,317,4,47,libre,,1594940688,no
565,313,4,38,regular,,1595026488,no
597,102,3,24,regular,2020-08-11,1597145277,no
600,427,3,14,libre,,1597146226,no
695,515,3,15,regular,,1597189100,no
702,523,3,12,libre,,1597197872,no
719,527,3,14,regular,,1597243170,no
744,65,4,43,libre,2020-08-13,1597254025,no
773,525,4,30,regular,,1605495405,no
774,525,4,29,regular,,1605495405,no
775,525,4,32,regular,,1605495405,no
867,517,3,15,regular,2018-11-01,1605525141,no
868,517,3,6,regular,2020-10-27,1605525141,no
869,517,3,2,regular,2020-11-05,1605525141,no
870,517,3,4,regular,2020-11-09,1605525141,no
871,517,3,7,regular,2020-10-26,1605525141,no
872,517,3,12,regular,2020-11-06,1605525141,no
873,517,3,14,regular,2020-11-12,1605525141,no
874,517,3,16,regular,2020-10-27,1605525141,no
875,517,3,26,regular,2020-10-28,1605525141,no
876,517,3,27,regular,2020-10-29,1605525141,no
877,328,3,6,regular,2020-10-28,1605525199,no
878,328,3,13,regular,2020-11-10,1605525199,no
879,328,3,18,regular,2020-11-11,1605525199,no
880,328,3,2,libre,,1605525199,no
881,328,3,4,regular,2020-11-14,1605525199,no
882,328,3,7,libre,,1605525199,no
883,328,3,12,libre,,1605525199,no
884,328,3,14,regular,2020-11-15,1605525199,no
885,328,3,21,regular,2020-11-14,1605525199,no
886,328,3,26,libre,,1605525199,no
887,328,3,27,regular,2020-10-29,1605525199,no
1059,220,3,2,regular,2020-11-06,1605530415,no
1060,220,3,4,regular,2020-11-14,1605530415,no
1061,220,3,7,regular,2020-11-09,1605530415,no
1062,220,3,12,regular,2020-11-08,1605530415,no
1063,220,3,14,regular,2020-11-15,1605530415,no
1064,220,3,16,regular,2020-11-04,1605530415,no
1065,220,3,26,regular,2020-11-12,1605530415,no
1066,220,3,27,regular,2020-10-30,1605530415,no
1151,253,3,2,regular,,1605532624,no
1152,253,3,4,regular,,1605532624,no
1153,253,3,7,regular,,1605532624,no
1154,253,3,12,regular,,1605532624,no
1155,253,3,14,regular,,1605532624,no
1156,253,3,16,regular,,1605532624,no
1157,253,3,21,regular,,1605532624,no
1158,253,3,27,regular,,1605532624,no
1223,131,4,30,regular,,1605533073,no
1224,131,4,36,regular,,1605533073,no
1225,131,4,39,regular,,1605533073,no
1226,131,4,43,regular,,1605533073,no
1227,131,4,45,regular,,1605533073,no
1228,131,4,46,regular,,1605533073,no
1229,131,4,47,regular,,1605533073,no
1230,131,4,48,regular,,1605533073,no
1418,383,3,18,regular,2020-10-26,1605534062,no
1419,383,3,2,libre,,1605534062,no
1420,383,3,7,regular,,1605534062,no
1439,126,4,30,regular,,1605534382,no
1440,126,4,36,libre,,1605534382,no
1441,126,4,39,regular,,1605534382,no
1442,126,4,43,libre,,1605534382,no
1443,126,4,45,regular,,1605534382,no
1444,126,4,46,regular,,1605534382,no
1445,126,4,47,regular,,1605534382,no
1446,126,4,48,regular,,1605534382,no
1447,126,4,51,regular,,1605534382,no
1543,675,3,5,regular,,1605535712,no
1544,675,3,9,regular,,1605535712,no
1545,675,3,10,regular,,1605535712,no
1546,675,3,11,regular,,1605535712,no
1547,675,3,15,regular,,1605535712,no
1548,675,3,17,libre,,1605535712,no
1549,675,3,24,libre,,1605535712,no
1550,675,3,28,regular,,1605535712,no
1558,530,3,24,regular,,1605536128,no
1604,343,3,2,regular,,1605536903,no
1605,343,3,4,regular,,1605536903,no
1606,343,3,7,regular,,1605536903,no
1607,343,3,12,regular,,1605536903,no
1608,343,3,14,regular,,1605536903,no
1609,343,3,16,regular,,1605536903,no
1610,343,3,21,regular,,1605536904,no
1611,343,3,27,regular,,1605536904,no
1622,465,4,30,regular,,1605537015,no
1623,465,4,36,libre,,1605537016,no
1624,465,4,39,regular,,1605537016,no
1625,465,4,43,libre,,1605537016,no
1626,465,4,45,regular,,1605537016,no
1627,465,4,46,libre,,1605537016,no
1628,465,4,47,regular,,1605537016,no
1629,465,4,48,regular,,1605537016,no
1630,465,4,51,regular,,1605537016,no
1702,123,3,5,regular,,1605538342,no
1703,123,3,9,libre,,1605538342,no
1704,123,3,10,regular,,1605538342,no
1705,123,3,11,regular,,1605538342,no
1706,123,3,15,regular,,1605538342,no
1707,123,3,17,regular,,1605538342,no
1708,123,3,19,regular,,1605538342,no
1709,123,3,24,regular,,1605538342,no
1710,123,3,28,regular,,1605538342,no
1740,342,3,3,libre,,1605539195,no
1741,342,3,8,regular,,1605539195,no
1742,342,3,18,regular,,1605539195,no
1743,342,3,2,regular,,1605539195,no
1744,342,3,4,regular,,1605539195,no
1745,342,3,7,regular,,1605539195,no
1746,342,3,12,regular,,1605539195,no
1747,342,3,14,regular,,1605539195,no
1748,342,3,16,regular,,1605539195,no
1749,342,3,21,regular,,1605539195,no
1750,342,3,26,regular,,1605539195,no
1751,342,3,27,regular,,1605539195,no
1916,682,3,5,regular,,1605540682,no
1917,682,3,9,regular,,1605540682,no
1918,682,3,10,regular,,1605540682,no
1919,682,3,11,regular,,1605540682,no
1920,682,3,15,regular,,1605540682,no
1921,682,3,17,regular,,1605540682,no
1922,682,3,19,regular,,1605540682,no
1923,682,3,24,regular,,1605540682,no
1924,682,3,28,regular,,1605540682,no
1959,681,3,2,libre,2020-11-25,1605542223,no
1960,231,3,2,regular,,1605542427,no
1961,231,3,4,regular,,1605542428,no
1962,231,3,7,regular,,1605542428,no
1963,231,3,12,regular,,1605542428,no
1964,231,3,14,regular,,1605542428,no
1965,231,3,16,regular,,1605542428,no
1966,231,3,21,regular,,1605542428,no
1967,231,3,26,regular,,1605542428,no
1968,231,3,27,regular,,1605542428,no
1969,679,4,29,regular,,1605542563,no
1970,679,4,31,regular,,1605542563,no
1971,679,4,34,regular,,1605542563,no
1972,679,4,37,regular,,1605542563,no
1973,679,4,38,regular,,1605542563,no
1974,679,4,49,regular,,1605542563,no
1975,679,4,52,regular,,1605542563,no
2051,227,3,18,libre,,1605544838,no
2052,227,3,25,regular,,1605544838,no
2053,227,3,2,regular,,1605544838,no
2054,227,3,4,regular,,1605544838,no
2055,227,3,7,regular,,1605544838,no
2056,227,3,12,regular,,1605544838,no
2057,227,3,14,regular,,1605544838,no
2058,227,3,16,regular,,1605544838,no
2059,227,3,26,regular,,1605544839,no
2060,227,3,27,regular,,1605544839,no
2131,444,3,2,regular,,1605546469,no
2132,444,3,4,regular,,1605546469,no
2133,444,3,7,regular,,1605546469,no
2134,444,3,12,regular,,1605546469,no
2135,444,3,14,regular,,1605546469,no
2136,444,3,16,regular,,1605546469,no
2137,444,3,21,regular,,1605546469,no
2138,444,3,26,regular,,1605546469,no
2139,444,3,27,regular,,1605546469,no
2178,336,4,30,regular,,1605547736,no
2179,336,4,39,regular,,1605547736,no
2180,336,4,43,regular,,1605547736,no
2181,336,4,45,regular,,1605547736,no
2182,336,4,46,regular,,1605547736,no
2183,336,4,47,regular,,1605547736,no
2184,336,4,48,regular,,1605547736,no
2185,336,4,51,regular,,1605547736,no
2272,65,3,11,regular,,1605548665,no
2273,65,3,15,regular,,1605548665,no
2274,65,3,17,regular,,1605548665,no
2275,65,3,19,regular,,1605548665,no
2276,65,3,24,regular,,1605548665,no
2282,251,3,2,regular,2020-11-16,1605548746,no
2283,251,3,4,regular,2020-11-16,1605548746,no
2284,251,3,12,regular,2020-11-16,1605548746,no
2285,251,3,14,regular,2020-11-16,1605548746,no
2286,251,3,27,regular,2020-11-16,1605548746,no
2359,468,4,30,regular,,1605551372,no
2360,468,4,36,regular,,1605551372,no
2361,468,4,39,regular,,1605551372,no
2362,468,4,43,regular,,1605551372,no
2363,468,4,45,regular,,1605551372,no
2364,468,4,46,regular,,1605551372,no
2365,468,4,47,regular,,1605551372,no
2366,468,4,48,regular,,1605551372,no
2367,468,4,51,regular,,1605551372,no
2389,401,3,2,libre,,1605553235,no
2390,401,3,12,regular,,1605553235,no
2391,401,3,14,libre,,1605553235,no
2392,401,3,27,regular,,1605553235,no
2465,522,3,18,regular,,1605554203,no
2466,522,3,2,regular,,1605554203,no
2482,532,3,18,libre,,1605554992,no
2483,532,3,2,libre,,1605554992,no
2484,532,3,4,libre,,1605554992,no
2485,532,3,7,libre,,1605554992,no
2486,532,3,27,libre,,1605554992,no
2593,282,4,32,regular,,1605561999,no
2594,282,4,33,regular,,1605561999,no
2595,282,4,35,regular,,1605561999,no
2596,282,4,40,regular,,1605561999,no
2597,282,4,42,regular,,1605561999,no
2598,282,4,50,regular,,1605561999,no
2599,282,4,53,regular,,1605561999,no
2600,282,4,54,regular,,1605561999,no
2601,282,4,55,regular,,1605561999,no
2602,282,4,56,regular,,1605561999,no
2627,542,3,4,regular,,1605562522,no
2634,171,3,5,libre,,1605563887,no
2635,171,3,9,libre,,1605563887,no
2636,171,3,10,libre,,1605563887,no
2637,171,3,11,libre,,1605563887,no
2638,171,3,15,libre,,1605563887,no
2639,171,3,17,libre,,1605563887,no
2640,171,3,24,regular,,1605563887,no
2641,171,3,28,libre,,1605563887,no
2642,124,4,30,regular,2020-10-26,1605566799,no
2643,124,4,36,regular,2020-11-17,1605566799,no
2644,124,4,39,libre,,1605566799,no
2645,124,4,43,libre,,1605566799,no
2646,124,4,45,regular,2020-10-26,1605566799,no
2647,124,4,46,regular,2020-11-10,1605566799,no
2648,124,4,47,regular,2020-11-12,1605566799,no
2649,124,4,48,regular,2020-10-26,1605566799,no
2753,445,4,44,libre,,1605569569,no
2754,445,4,49,regular,2020-11-04,1605569569,no
2755,445,4,52,regular,2020-11-04,1605569569,no
2816,441,4,30,regular,,1605573965,no
2817,441,4,39,libre,,1605573965,no
2818,441,4,43,libre,,1605573965,no
2819,441,4,45,libre,,1605573965,no
2871,210,3,5,regular,2020-11-16,1605578017,no
2872,210,3,9,regular,,1605578017,no
2873,210,3,10,regular,,1605578017,no
2874,210,3,11,regular,,1605578017,no
2875,210,3,15,regular,,1605578017,no
2876,210,3,17,regular,,1605578017,no
2877,210,3,24,regular,,1605578017,no
2878,210,3,28,regular,,1605578017,no
3041,421,4,47,regular,,1605623357,no
3042,421,4,32,regular,,1605623358,no
3043,421,4,33,regular,,1605623358,no
3044,421,4,35,regular,,1605623358,no
3045,421,4,40,regular,,1605623358,no
3046,421,4,42,regular,,1605623358,no
3047,421,4,50,regular,,1605623358,no
3048,421,4,53,regular,,1605623358,no
3049,421,4,54,regular,,1605623358,no
3050,421,4,56,regular,,1605623358,no
3057,344,3,2,regular,,1605626116,no
3058,344,3,4,regular,,1605626116,no
3059,344,3,7,regular,,1605626116,no
3060,344,3,12,regular,,1605626116,no
3061,344,3,14,regular,,1605626116,no
3062,344,3,16,regular,,1605626116,no
3063,344,3,21,regular,,1605626116,no
3064,344,3,26,regular,,1605626116,no
3065,344,3,27,regular,,1605626116,no
3131,496,3,10,regular,,1605633102,no
3132,496,3,24,regular,,1605633102,no
3137,164,4,43,regular,,1605633289,no
3138,164,4,34,regular,,1605633289,no
3139,164,4,38,regular,,1605633289,no
3140,164,4,49,regular,,1605633289,no
3144,176,3,9,libre,,1605635474,no
3145,176,3,11,libre,,1605635474,no
3146,176,3,28,libre,,1605635474,no
3147,341,3,3,regular,2020-10-28,1605636253,no
3148,341,3,13,regular,2020-11-04,1605636253,no
3149,341,3,23,regular,,1605636253,no
3150,341,3,7,regular,2020-10-26,1605636253,no
3151,341,3,26,libre,,1605636253,no
3152,341,3,27,regular,2020-10-30,1605636253,no
3153,141,3,24,regular,2020-11-14,1605637195,no
3154,277,4,30,regular,,1605638275,no
3155,277,4,39,regular,,1605638275,no
3156,277,4,43,regular,,1605638275,no
3157,277,4,45,regular,,1605638275,no
3158,277,4,47,regular,,1605638275,no
3159,277,4,48,regular,2020-11-17,1605638275,no
3160,277,4,51,regular,2020-11-17,1605638275,no
3177,232,3,2,regular,,1605641219,no
3178,232,3,4,regular,,1605641219,no
3179,232,3,7,regular,,1605641219,no
3180,232,3,12,regular,,1605641219,no
