ID,nombre,carrera,carreraID,year,estado,habilitado,comentarios
2,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA,ADMINISTRACION BANCARIA,3,3,activo,si,Sin comentarios
3,ADMINISTRACIÓN,ADMINISTRACION BANCARIA,3,2,activo,si,
4,COMERCIO EXTERIOR,ADMINISTRACION BANCARIA,3,3,activo,si,
5,CONTABILIDAD,ADMINISTRACION BANCARIA,3,1,activo,si,
6,COOPERATIVISMO,ADMINISTRACION BANCARIA,3,2,activo,si,
7,COSTOS Y PRESUPUESTOS,ADMINISTRACION BANCARIA,3,3,activo,si,
8,DERECHO BANCARIO-SOCIETARIO Y TRIBUTARIO,ADMINISTRACION BANCARIA,3,2,activo,si,
9,DERECHO CIVIL Y COMERCIAL,ADMINISTRACION BANCARIA,3,1,activo,si,
10,DERECHO LABORAL,ADMINISTRACION BANCARIA,3,1,activo,si,
11,ECONOMÍA I,ADMINISTRACION BANCARIA,3,1,activo,si,
12,ECONOMÍA II,ADMINISTRACION BANCARIA,3,3,activo,si,
13,ECONOMÍA REGIONAL,ADMINISTRACION BANCARIA,3,2,activo,si,
14,EVALUACIÓN DE PROYECTOS,ADMINISTRACION BANCARIA,3,3,activo,si,
15,INTEGRACIÓN CULTURAL,ADMINISTRACION BANCARIA,3,1,activo,si,
16,LA SOCIEDAD Y EL DESARROLLO ECONÓMICO,ADMINISTRACION BANCARIA,3,3,activo,si,
17,MATEMÁTICA,ADMINISTRACION BANCARIA,3,1,activo,si,
18,MATEMÁTICA FINANCIERA,ADMINISTRACION BANCARIA,3,2,activo,si,
19,PRACTICA PROFESIONAL BANCARIA I,ADMINISTRACION BANCARIA,3,1,inactivo,si,
20,PRACTICA PROFESIONAL BANCARIA II,ADMINISTRACION BANCARIA,3,2,inactivo,si,
21,PRACTICA PROFESIONAL BANCARIA III,ADMINISTRACION BANCARIA,3,3,inactivo,si,
22,PROCESAMIENTO DE DATOS E INFORMACIÓN,ADMINISTRACION BANCARIA,3,2,activo,si,
23,RELACIONES HUMANAS,ADMINISTRACION BANCARIA,3,2,activo,si,
24,TÉCNICA BANCARIA I,ADMINISTRACION BANCARIA,3,1,activo,si,
25,TÉCNICA BANCARIA II,ADMINISTRACION BANCARIA,3,2,activo,si,
26,TEORÍA DE LA DECISIÓN Y COMPORTAMIENTO EMPRESARIO,ADMINISTRACION BANCARIA,3,3,activo,si,
27,TEORÍA DE LA GESTIÓN,ADMINISTRACION BANCARIA,3,3,activo,si,
28,TEORÍA DE LA ORGANIZACIÓN,ADMINISTRACION BANCARIA,3,1,activo,si,
29,AGENCIAS DE VIAJES Y ORGANIZACIÓN DE CONGRESOS Y EMPRESARIO,TURISMO,4,2,activo,si,
30,ECOLOGÍA I,TURISMO,4,1,activo,si,
31,ECOLOGÍA II,TURISMO,4,2,activo,si,
32,ECOLOGÍA III,TURISMO,4,3,activo,si,
33,ESTADÍSTICA APLICADA,TURISMO,4,3,activo,si,
34,ESTADO Y SOCIEDAD,TURISMO,4,2,activo,si,
35,ÉTICA PROFESIONAL,TURISMO,4,3,activo,si,
36,FRANCÉS TÉCNICO I,TURISMO,4,1,activo,si,
37,FRANCÉS TÉCNICO II,TURISMO,4,2,activo,si,
38,GEOGRAFÍA ARGENTINA Y PATRIMONIO TURÍSTICO NACIONA,TURISMO,4,2,activo,si,
39,GEOGRAFÍA TURÍSTICA Y PATRIMONIO HISTÓRICO REGIONA,TURISMO,4,1,activo,si,
40,"GEOGRAFÍA, PATRIMONIO TURÍSTICO UNIVERSAL Y PROGR",TURISMO,4,3,activo,si,
41,"GESTIÓN DE EMPRESAS TURÍSTICAS, LEGISLACIÓN Y MARK",TURISMO,4,2,activo,si,
42,HOTELERÍA,TURISMO,4,3,activo,si,
43,INGLÉS TÉCNICO I,TURISMO,4,1,activo,si,
44,INGLÉS TÉCNICO II,TURISMO,4,2,activo,si,
45,INTRODUCCIÓN AL TURISMO Y TURISMO SOCIAL,TURISMO,4,1,activo,si,
46,NTICS Y LENGUAJES EN LA COMUNICACIÓN,TURISMO,4,1,activo,si,
47,ORGANIZACIÓN Y GESTIÓN DE EMPRESAS,TURISMO,4,1,activo,si,
48,PRÁCTICA I: COMUNICACIÓN DE LA INFORMACIÓN Y PROGR,TURISMO,4,1,activo,si,
49,PRÁCTICA II: PROGRAMACIÓN DE CIRCUITOS NACIONALES,TURISMO,4,2,activo,si,
50,PRÁCTICA PROFESIONAL DIRIGIDA,TURISMO,4,3,activo,si,
51,PRACTICA PROFESIONAL TURISMO I,TURISMO,4,1,inactivo,si,
52,PRACTICA PROFESIONAL TURISMO II,TURISMO,4,2,inactivo,si,
53,PRACTICA PROFESIONAL TURISMO III,TURISMO,4,3,inactivo,si,
54,PROBLEMÁTICA SOCIOCULTURAL Y MUNDO DEL TRABAJO,TURISMO,4,3,activo,si,
55,SEMINARIO DE INTEGRACIÓN (ELABORACIÓN DE TESINA),TURISMO,4,3,activo,si,
56,SOCIOLOGÍA DEL TURISMO,TURISMO,4,3,activo,si,
57,PRACTICA PROFESIONAL I,ADMINISTRACION BANCARIA,3,2023,inactivo,si,
58,PRACTICA PROFESIONAL II,ADMINISTRACION BANCARIA,3,2023,inactivo,si,
59,PRACTICA PROFESIONAL III,ADMINISTRACION BANCARIA,3,2023,inactivo,si,
